     tim; pos; vol; res; sPs; tur; rat; amp; pow; eAd; eDm; eFl; sNw; sKh; 
   12.27; 4; 740; 0.28; 18.594; 40.444; 0.198; 523.29; 387231.64; 344636.16; 0.0; 5802358.515; 18.612; 67.003; 
   12.30; 4; 740; 0.28; 18.612; 40.483; 0.198; 523.29; 387231.64; 344636.16; 0.0; 5813846.387; 18.63; 67.068; 
   12.33; 4; 740; 0.28; 18.63; 40.522; 0.198; 523.29; 387231.64; 344636.16; 0.0; 5825334.259; 18.649; 67.136; 
   12.37; 4; 740; 0.28; 18.649; 40.564; 0.198; 523.29; 387231.64; 344636.16; 0.0; 5836822.131; 18.667; 67.201; 
   12.40; 4; 740; 0.28; 18.667; 40.603; 0.198; 523.29; 387231.64; 344636.16; 0.0; 5848310.003; 18.686; 67.27; 
   12.43; 4; 740; 0.28; 18.686; 40.644; 0.197; 520.64; 385275.82; 342895.48; 0.0; 5859739.852; 18.704; 67.334; 
   12.47; 4; 740; 0.28; 18.704; 40.683; 0.197; 520.64; 385275.82; 342895.48; 0.0; 5871169.701; 18.722; 67.399; 
   12.50; 4; 740; 0.28; 18.722; 40.723; 0.197; 520.64; 385275.82; 342895.48; 0.0; 5882599.55; 18.74; 67.464; 
   12.53; 4; 740; 0.28; 18.74; 40.762; 0.197; 520.64; 385275.82; 342895.48; 0.0; 5894029.399; 18.759; 67.532; 
   12.57; 4; 740; 0.28; 18.759; 40.803; 0.197; 520.64; 385275.82; 342895.48; 0.0; 5905459.248; 18.777; 67.597; 
   12.60; 4; 740; 0.28; 18.777; 40.842; 0.197; 520.64; 385275.82; 342895.48; 0.0; 5916889.097; 18.795; 67.662; 
   12.63; 4; 740; 0.28; 18.795; 40.881; 0.197; 520.64; 385275.82; 342895.48; 0.0; 5928318.946; 18.813; 67.727; 
   12.67; 4; 740; 0.28; 18.813; 40.92; 0.196; 518.0; 383320.0; 341154.8; 0.0; 5939690.773; 18.831; 67.792; 
   12.70; 4; 740; 0.28; 18.831; 40.96; 0.196; 518.0; 383320.0; 341154.8; 0.0; 5951062.6; 18.849; 67.856; 
   12.73; 4; 740; 0.28; 18.849; 40.999; 0.196; 518.0; 383320.0; 341154.8; 0.0; 5962434.427; 18.867; 67.921; 
   12.77; 4; 740; 0.28; 18.867; 41.038; 0.196; 518.0; 383320.0; 341154.8; 0.0; 5973806.254; 18.885; 67.986; 
   12.80; 4; 740; 0.28; 18.885; 41.077; 0.196; 518.0; 383320.0; 341154.8; 0.0; 5985178.081; 18.903; 68.051; 
   12.83; 4; 740; 0.28; 18.903; 41.116; 0.196; 518.0; 383320.0; 341154.8; 0.0; 5996549.908; 18.921; 68.116; 
   12.87; 4; 740; 0.28; 18.921; 41.155; 0.195; 515.36; 381364.18; 339414.12; 0.0; 6007863.712; 18.939; 68.18; 
